8100001;Kufstein;;;;;
8100002;Salzburg Hbf;;;;;
8100003;Wien Westbahnhof;;;;;
8100004;Wien Hbf (Autoreisezuganlage);;;;;
8100005;Melk;;;;;
8100006;Pöchlarn;;;;;
8100007;Ybbs/Donau;;;;;
8100008;St.Pölten Hbf;;;;;
8100009;St.Valentin;;;;;
8100010;Steyr;;;;;
8100011;Enns;;;;;
8100012;Amstetten NÖ;;;;;
8100013;Linz/Donau Hbf;;;;;
8100014;Wels Hbf;;;;;
8100015;Lambach;;;;;
8100016;Schwanenstadt;;;;;
8100017;Attnang-Puchheim;;;;;
8100018;Frankenmarkt;;;;;
8100019;Straßwalchen;;;;;
8100020;Steindorf b.Straßwalchen;;;;;
8100021;Bad Schallerbach-Wallern;;;;;
8100022;Grieskirchen-Gallspach;;;;;
8100023;Neumarkt-Kallham;;;;;
8100024;Schärding;;;;;
8100025;Baden b.Wien;;;;;
8100026;Gloggnitz;;;;;
8100027;Payerbach-Reichenau;;;;;
8100028;Semmering;;;;;
8100029;Mürzzuschlag;;;;;
8100030;Kindberg;;;;;
8100031;Kapfenberg;;;;;
8100032;Bruck/Mur;;;;;
8100033;Frohnleiten;;;;;
8100034;Peggau-Deutschfeistritz;;;;;
8100035;Leibnitz;;;;;
8100036;Sattendorf;;;;;
8100037;Ossiach-Bodensdorf;;;;;
8100038;Steindorf/Ossiacher See;;;;;
8100039;Feldkirchen in Ktn;;;;;
8100040;Hallein;;;;;
8100041;Golling-Abtenau;;;;;
8100042;Bischofshofen;;;;;
8100043;St.Johann im Pongau;;;;;
8100044;Schwarzach-St.Veit;;;;;
8100045;Lend/Salzach;;;;;
8100046;Taxenbach-Rauris;;;;;
8100047;Bruck-Fusch;;;;;
8100048;Zell am See;;;;;
8100049;Saalfelden;;;;;
8100050;Maishofen-Saalbach;;;;;
8100051;Leogang;;;;;
8100052;Hochfilzen;;;;;
8100053;Fieberbrunn;;;;;
8100054;St.Johann in Tirol;;;;;
8100055;Kitzbühel;;;;;
8100056;Arnoldstein;;;;;
8100057;Kirchberg in Tirol;;;;;
8100058;Westendorf in Tirol;;;;;
8100059;Hopfgarten im Brixental;;;;;
8100060;Telfs-Pfaffenhofen;;;;;
8100061;Ötztal;;;;;
8100062;Imst-Pitztal;;;;;
8100063;Landeck-Zams;;;;;
8100064;St.Anton am Arlberg;;;;;
8100065;Langen am Arlberg;;;;;
8100066;Ludesch;;;;;
