"Verkehrsstation","BST Code"
"Abfaltersbach","Abf H1"
"Absdorf-Hippersdorf","Ah"
"Achau","Ach"
"Achenlohe","Nst H4H"
"Achleitnersiedlung","Puw H1A"
"Admont","Ad"
"Aich im Jauntal","Spa H3"
"Aich-Assach","Grb H2"
"Aigen-Schlägl","Ai"
"Aisthofen","P   H1"
"Allentsteig","All"
"Allerheiligenhöfe","Ih  H1"
"Allerheiligen-Mürzhofen","Ki  H1"
"Altach","Got H1"
"Altenhof","Plk H1"
"Altenmarkt im Pongau","Rad K1"
"Altenstadt","Fk  H1N"
"Altmünster am Traunsee","Er"
"Amstetten","Ams"
"Andorf","Af"
"Angern","Ag"
"Annenheim","Saf H1"
"Ansfelden","T   H1"
"Antiesenhofen","Ant"
"Arbing","Arb"
"Ardning","Ar"
"Arnoldstein","Dr"
"Aschbach Haltestelle","Ams H2"
"Aspang","Ap"
"Asten-Fisching","Ens H1"
"Attnang-Puchheim","At"
"Atzenbrugg","Tfd H2"
"Aurachkirchen","Ak"
"Aurolzmünster","Rd  H2M"
"Ausschlag-Zöbern","Auz"
"Bad Aussee","Au"
"Bad Blumau","Seb H3"
"Bad Deutsch Altenburg","Bde"
"Bad Erlach","Ela"
"Bad Fischau","Fwa H1"
"Bad Fischau-Brunn","Fib"
"Bad Gastein","Bag"
"Bad Goisern","Stg H1"
"Bad Hofgastein","Hg"
"Bad Ischl","Il"
"Bad Mitterndorf","Bam"
"Bad Mitterndorf-Heilbrunn","Bam H1"
"Bad Radkersburg","Ra"
"Bad Ried","Rd  H1M"
"Bad Sauerbrunn","Sau"
"Bad Schallerbach-Wallern","Wa"
"Bad Vigaun","Hl  H2A"
"Bad Vöslau","Bvs"
"Bad Waltersdorf","Seb H1"
"Baden","Bf  H1"
"Baumgartenberg","Bb"
"Berg im Drautal","De  H1"
"Bergern","Otg H1"
"Berndorf Fabrik","Tf"
"Berndorf Stadt","Tf  H1"
"Bernhardsthal","Beh"
"Bichlbach-Almkopfbahn","Bch H1H"
"Bichlbach-Berwang","Bch"
"Bierbaum","Bib"
"Bisamberg","F   H3S"
"Bischofshofen","Bo"
"Bleiburg","Ble"
"Bleiburg Stadt","Spa K1"
"Blindenmarkt","Kar H2"
"Bludenz","B"
"Böckstein","Bs"
"Böheimkirchen","Bh"
"Böhlerwerk a.d.Ybbs","Hk  H3"
"Braunau am Inn","Bru"
"Bregenz","Bg"
"Bregenz Hafen","Bg  H1"
"Breitenbrunn","Pur H1H"
"Breiteneich bei Horn","Sh  H1H"
"Breitenschützing","Bre"
"Breitensee N.Ö.","Sfl H1"
"Breitenstein","Bt"
"Breitenwaida","Gr  H1"
"Brixen im Thale","Kit H1"
"Brixlegg","Bri"
"Bruck a.d.Leitha","Bl"
"Bruck a.d.Mur","Bm"
"Bruck-Fusch","Brf"
"Brunn a.d.Pitten","Ela H1"
"Brunn an der Schneebergbahn","Fib H1"
"Brunn-Maria Enzersdorf","Bu"
"Buchberg","Gas H1"
"Dechantskirchen","Fd  H1H"
"Dellach im Drautal","De"
"Deutsch Wagram","Wg"
"Deutschkreutz","Dk"
"Diensthubersiedlung","Voi H3"
"Dietrichshofen","Ant H1"
"Dölsach","Doe"
"Donnerskirchen","Sag H2"
"Dorf a.d.Enns","Ern H1"
"Dorfgastein","Dg"
"Dornach","Gbk H1"
"Dornbirn","Do"
"Dornbirn-Schoren","Hos H2"
"Dreistetten","Pie H1"
"Drösing","Drg"
"Dürnbach","Lf  H1"
"Dürnberg","Puw H1"
"Dürnkrut","Due"
"Dürrwien","Pm  H2"
"Eben im Pongau","Ebn"
"Ebenfurth","Ef"
"Ebensee","En"
