Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Abfaltersbach	Abf H1	5517155	3.d		Tirol
Absdorf-Hippersdorf	Ah	17	3.c		Niederösterreich
Achau	Ach	11	3.c		Niederösterreich
Achenlohe	Nst H4H	499	3.d		Oberösterreich
Achleitnersiedlung	Puw H1A	1787	3.d		Oberösterreich
Admont	Ad	12	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Steiermark
Aich-Assach	Grb H2	688	3.d		Steiermark
Aigen-Schlägl	Ai	24	3.d		Oberösterreich
Aisthofen	P   H1	1652	3.d		Oberösterreich
Allentsteig	All	41	3.d		Niederösterreich
Allerheiligenhöfe	Ih  H1	938	3.d		Tirol
Allerheiligen-Mürzhofen	Ki  H1	1033	3.d		Steiermark
Alling-Tobisegg	Lnn H2	1253	3.d		Steiermark
Altach	Got H1	676	3.c		Vorarlberg
Altenhof	Plk H1	1716	3.d		Niederösterreich
Altenmarkt im Pongau	Rad K1	1810	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Salzburg
Altenstadt	Fk  H1N	455	3.d		Vorarlberg
Altmünster am Traunsee	Er	376	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Oberösterreich
Amstetten	Ams	55	3.c		Niederösterreich
Andorf	Af	13	3.d		Oberösterreich
Angern	Ag	15	3.c		Niederösterreich
Annenheim	Saf H1	1932	3.d		Kärnten
Ansfelden	T   H1	2192	3.d		Oberösterreich
Antiesenhofen	Ant	66	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Oberösterreich
Arbing	Arb	80	3.d		Oberösterreich
Ardning	Ar	79	3.d		Steiermark
Arnoldstein	Dr	296	3.d		Kärnten
Aschbach Haltestelle	Ams H2	1265643	3.d		Niederösterreich
Aspang Markt	Ap	75	3.d		Niederösterreich
Asten-Fisching	Ens H1	1397220	3.c		Oberösterreich
